Student ID,student_name,gender,grade,school_name,reading_score,math_score
36194,Aaron Acosta,M,12th,Ford High School,99,95
9133,Aaron Aguilar,M,9th,Hernandez High School,90,60
36126,Aaron Anderson,M,9th,Ford High School,69,84
18861,Aaron Atkinson,M,9th,Bailey High School,88,77
19812,Aaron Bailey,M,12th,Bailey High School,98,70
17610,Aaron Bonilla,M,9th,Cabrera High School,80,77
2737,Aaron Booker,M,12th,Huang High School,81,64
8336,Aaron Boyer,M,9th,Hernandez High School,99,83
5816,Aaron Brandt,M,10th,Figueroa High School,89,66
35726,Aaron Brown,M,12th,Ford High School,85,82
31033,Aaron Burch,M,10th,Johnson High School,90,97
33466,Aaron Burns,M,12th,Johnson High School,71,77
23908,Aaron Carpenter ,M,12th,Pena High School,86,73
20423,Aaron Carter,M,9th,Bailey High School,78,85
24109,Aaron Chang,M,11th,Pena High School,75,72
17636,Aaron Christensen,M,12th,Cabrera High School,81,76
18928,Aaron Clark,M,10th,Bailey High School,81,55
33846,Aaron Cole,M,9th,Johnson High School,87,86
20380,Aaron Cook,M,10th,Bailey High School,93,67
3580,Aaron Cooper,M,11th,Figueroa High School,86,80
8633,Aaron Crawford,M,10th,Hernandez High School,87,62
20181,Aaron Cruz,M,10th,Bailey High School,70,95
6613,Aaron Dalton,M,10th,Shelton High School,81,72
19809,Aaron Davis Jr.,M,11th,Bailey High School,97,63
4852,Aaron Dean,M,10th,Figueroa High School,66,81
29690,Aaron Deleon,M,9th,Rodriguez High School,96,84
30367,Aaron Dixon,M,9th,Johnson High School,79,94
6889,Aaron Duncan,M,9th,Shelton High School,75,81
7956,Aaron Eaton,M,10th,Hernandez High School,81,61
28651,Aaron Ellis,M,9th,Rodriguez High School,65,82
13634,Aaron Evans,M,11th,Griffin High School,74,83
18279,Aaron Evans,M,12th,Bailey High School,93,76
7532,Aaron Fields,M,11th,Shelton High School,99,88
31679,Aaron Figueroa,M,11th,Johnson High School,79,66
2206,Aaron Foster,M,12th,Huang High School,82,89
4246,Aaron Gaines,M,11th,Figueroa High School,82,95
5617,Aaron Gallegos,M,11th,Figueroa High School,64,70
20036,Aaron Garcia,M,9th,Bailey High School,96,98
5634,Aaron Gates,M,12th,Figueroa High School,81,84
16461,Aaron George,M,10th,Cabrera High School,69,75
13126,Aaron Gilbert,M,9th,Griffin High School,96,89
3801,Aaron Gomez,M,12th,Figueroa High School,83,72
13164,Aaron Gonzales,M,9th,Griffin High School,79,71
15284,Aaron Gonzalez,M,10th,Wilson High School,98,92
18153,Aaron Gonzalez,M,11th,Bailey High School,81,60
12859,Aaron Gould,M,12th,Griffin High School,78,77
10962,Aaron Green,M,11th,Hernandez High School,89,95
12889,Aaron Griffin,M,11th,Griffin High School,88,72
9381,Aaron Hall,M,9th,Hernandez High School,76,89
14695,Aaron Hansen,M,9th,Wilson High School,80,88
11235,Aaron Harper,M,12th,Hernandez High School,71,63
26524,Aaron Hawkins,M,10th,Rodriguez High School,90,77
33526,Aaron Hayes,M,10th,Johnson High School,91,59
25648,Aaron Henderson,M,9th,Wright High School,72,86
3599,Aaron Hernandez,M,12th,Figueroa High School,90,97
24677,Aaron Herrera,M,12th,Wright High School,83,80
35945,Aaron Hill,M,11th,Ford High School,82,78
31400,Aaron Holmes,M,10th,Johnson High School,82,82
38299,Aaron Holmes,M,10th,Thomas High School,76,72
2974,Aaron House,M,12th,Figueroa High School,69,60
27386,Aaron Ibarra,M,11th,Rodriguez High School,90,57
29555,Aaron Jackson,M,9th,Rodriguez High School,92,98
8075,Aaron Jacobs,M,9th,Hernandez High School,91,63
13998,Aaron James,M,11th,Wilson High School,73,89
33263,Aaron Jennings,M,11th,Johnson High School,73,72
12350,Aaron Johnson,M,12th,Griffin High School,80,71
13875,Aaron Johnson,M,9th,Wilson High School,84,90
24236,Aaron Johnson,M,10th,Wright High School,89,72
28906,Aaron Johnson,M,9th,Rodriguez High School,94,62
5437,Aaron Kelly,M,9th,Figueroa High School,82,85
25776,Aaron Kidd,M,9th,Wright High School,85,88
11899,Aaron King,M,9th,Hernandez High School,83,70
8346,Aaron Lawson,M,12th,Hernandez High School,85,63
4963,Aaron Little,M,12th,Figueroa High School,94,72
30839,Aaron Lopez,M,11th,Johnson High School,92,85
25992,Aaron Love,M,10th,Wright High School,82,89
13623,Aaron Maldonado,M,9th,Griffin High School,73,97
38883,Aaron Martin,M,11th,Thomas High School,82,84
389,Aaron Martinez,M,9th,Huang High School,85,72
5584,Aaron Mccarthy,M,10th,Figueroa High School,70,90
15797,Aaron Mcdonald,M,11th,Wilson High School,72,77
17183,Aaron Mcknight,M,11th,Cabrera High School,69,80
24067,Aaron Melton,M,11th,Pena High School,69,73
29623,Aaron Meyers,M,10th,Rodriguez High School,87,62
21693,Aaron Mitchell,M,10th,Bailey High School,94,60
27078,Aaron Mitchell,M,12th,Rodriguez High School,93,57
852,Aaron Moore,M,9th,Huang High School,85,70
27299,Aaron Morris,M,12th,Rodriguez High School,80,67
6074,Aaron Morris ,M,9th,Shelton High School,86,77
17880,Aaron Moyer,M,9th,Bailey High School,81,62
22482,Aaron Nelson,M,9th,Bailey High School,83,98
35132,Aaron Oliver,M,9th,Ford High School,68,98
10687,Aaron Pace,M,11th,Hernandez High School,72,97
22032,Aaron Payne,M,11th,Bailey High School,72,60
18251,Aaron Pearson,M,11th,Bailey High School,97,93
9543,Aaron Perez,M,9th,Hernandez High School,88,73
24928,Aaron Perez,M,10th,Wright High School,73,87
38140,Aaron Perez,M,9th,Thomas High School,75,81
34223,Aaron Perry,M,10th,Johnson High School,98,90
31431,Aaron Porter,M,10th,Johnson High School,82,69
29352,Aaron Pratt,M,9th,Rodriguez High School,91,97
19380,Aaron Proctor,M,12th,Bailey High School,76,77
20189,Aaron Quinn,M,10th,Bailey High School,63,80
12653,Aaron Ramirez,M,10th,Griffin High School,86,86
14194,Aaron Reyes,M,11th,Wilson High School,94,91
31102,Aaron Reynolds,M,10th,Johnson High School,96,99
14462,Aaron Robinson,M,12th,Wilson High School,82,93
297,Aaron Rodriguez,M,11th,Huang High School,75,78
18421,Aaron Rodriguez,M,9th,Bailey High School,69,93
557,Aaron Russo,M,10th,Huang High School,92,60
29674,Aaron Schultz,M,11th,Rodriguez High School,90,89
7912,Aaron Sherman,M,9th,Hernandez High School,76,82
10798,Aaron Sloan,M,9th,Hernandez High School,80,63
14004,Aaron Smith,M,12th,Wilson High School,98,98
17670,Aaron Smith,M,10th,Cabrera High School,87,74
23963,Aaron Smith,M,9th,Pena High School,99,70
18465,Aaron Solis Jr.,M,12th,Bailey High School,81,87
1393,Aaron Sparks,M,9th,Huang High School,67,62
35548,Aaron Stanley,M,9th,Ford High School,72,92
27127,Aaron Stevens,M,9th,Rodriguez High School,95,79
18462,Aaron Thompson,M,12th,Bailey High School,74,78
24314,Aaron Thompson,M,10th,Wright High School,96,91
35407,Aaron Walker,M,10th,Ford High School,99,71
24260,Aaron Warner,M,10th,Wright High School,72,99
19312,Aaron Washington,M,11th,Bailey High School,90,91
3260,Aaron Watson,M,10th,Figueroa High School,66,84
8650,Aaron Weaver,M,10th,Hernandez High School,93,93
23679,Aaron Webb,M,11th,Pena High School,85,83
17055,Aaron Weeks,M,10th,Cabrera High School,78,89
29624,Aaron Welch,M,11th,Rodriguez High School,98,69
169,Aaron West,M,10th,Huang High School,98,67
12905,Aaron Wilkinson,M,11th,Griffin High School,95,86
10490,Aaron Williams,M,9th,Hernandez High School,66,84
16468,Aaron Williams,M,11th,Cabrera High School,75,96
33865,Aaron Williamson,M,9th,Johnson High School,67,98
4370,Aaron Wilson,M,9th,Figueroa High School,82,58
27928,Aaron Wilson,M,12th,Rodriguez High School,95,69
17065,Aaron Wise,M,10th,Cabrera High School,72,96
3145,Aaron Woods,M,12th,Figueroa High School,83,66
31076,Aaron Young,M,10th,Johnson High School,97,95
14613,Abigail Acosta,F,10th,Wilson High School,88,93
13263,Abigail Adams,F,11th,Griffin High School,88,73
15373,Abigail Blair,F,10th,Wilson High School,85,73
32044,Abigail Brown,F,12th,Johnson High School,72,59
26415,Abigail Calhoun,F,12th,Rodriguez High School,95,55
